2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
236,GRI,Central Nebraska Regional,Grand Island,NE,200.32,273.26,"3,669",,,,,,,,,,,
237,CLL,Easterwood Field,College Station/Bryan,TX,431.07,588.03,"3,608",,,,,,,,,,,
238,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,371.46,506.71,"3,513",,,,,,,,,,,
239,SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,337.72,460.69,"3,452",,,,,,,,,,,
240,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,414.44,565.35,"3,427",,,,,,,,,,,
241,CMI,University of Illinois/Willard,Champaign/Urbana,IL,442.57,603.73,"3,301",,,,,,,,,,,
242,RDD,Redding Municipal,Redding,CA,387.44,528.52,"3,292",,,,,,,,,,,
243,LCH,Lake Charles Regional,Lake Charles,LA,452.45,617.20,"3,278",,,,,,,,,,,
244,ITH,Ithaca Tompkins International,Ithaca/Cortland,NY,351.63,479.67,"3,259",,,,,,,,,,,
245,MQT,Sawyer International,Marquette,MI,405.17,552.71,"3,013",,,,,,,,,,,
246,PUW,Pullman Moscow Regional,Pullman,WA,323.21,440.89,"2,983",,,,,,,,,,,
247,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,367.52,501.34,"2,852",,,,,,,,,,,
248,EAT,Pangborn Memorial,Wenatchee,WA,336.49,459.01,"2,816",,,,,,,,,,,
249,SIT,Sitka Rocky Gutierrez,Sitka,AK,425.92,581.01,"2,765",,,,,,,,,,,
250,CSG,Columbus Airport,Columbus,GA,552.78,754.07,"2,693",,,,,,,,,,,
251,ADQ,Kodiak Airport,Kodiak,AK,684.55,933.81,"2,681",,,,,,,,,,,
252,FSM,Fort Smith Regional,Fort Smith,AR,450.52,614.56,"2,626",,,,,,,,,,,
253,ROW,Roswell Air Center,Roswell,NM,413.95,564.68,"2,572",,,,,,,,,,,
254,ACT,Waco Regional,Waco,TX,404.84,552.25,"2,483",,,,,,,,,,,
255,TYR,Tyler Pounds Regional,Tyler,TX,407.66,556.10,"2,461",,,,,,,,,,,
256,PBG,Plattsburgh International,Plattsburgh,NY,208.62,284.58,"2,456",,,,,,,,,,,
257,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,429.33,585.66,"2,432",,,,,,,,,,,
